Date,Open,High,Low,Close,Adj Close,Volume
2022-05-10,135.000000,135.410004,128.429993,129.130005,122.816940,8642400
2022-05-11,129.860001,132.960007,129.860001,130.750000,124.357750,5301100
2022-05-12,131.270004,133.619995,130.410004,132.899994,126.402626,5384800
2022-05-13,133.000000,133.800003,131.050003,133.600006,127.068398,4195100
2022-05-16,133.100006,136.509995,132.410004,135.029999,128.428497,4250400
2022-05-17,137.190002,138.369995,135.639999,138.369995,131.605194,4372900
2022-05-18,137.100006,137.619995,132.169998,132.940002,126.440674,6003000
2022-05-19,132.000000,132.320007,128.710007,129.660004,123.321022,5819700
2022-05-20,130.179993,130.369995,125.800003,128.479996,122.198708,6914500
2022-05-23,129.500000,131.949997,129.419998,131.169998,124.757202,3591500
2022-05-24,130.570007,134.369995,130.419998,133.800003,127.258629,4189700
2022-05-25,132.860001,134.820007,132.860001,134.389999,127.819778,3299300
2022-05-26,135.000000,137.550003,134.520004,136.889999,130.197556,3929300
2022-05-27,137.389999,139.740005,137.240005,139.270004,132.461197,4608000
2022-05-31,138.199997,139.830002,136.809998,138.839996,132.052216,7978100
2022-06-01,139.669998,140.470001,138.520004,139.429993,132.613373,3796500
2022-06-02,139.449997,140.289993,136.850006,140.149994,133.298187,3734800
2022-06-03,140.259995,142.580002,139.740005,141.179993,134.277817,4352200
2022-06-06,142.979996,144.729996,142.000000,142.880005,135.894714,4766900
2022-06-07,142.600006,142.979996,140.960007,142.779999,135.799591,2887100
2022-06-08,142.070007,142.800003,140.149994,140.830002,133.944946,3005700
2022-06-09,140.149994,141.039993,137.929993,137.960007,131.215256,3591000
2022-06-10,137.800003,137.800003,135.250000,136.190002,129.531799,4659500
2022-06-13,133.970001,137.570007,133.759995,135.110001,128.504578,6486000
2022-06-14,135.000000,136.949997,134.860001,135.720001,129.084763,4607800
2022-06-15,136.009995,138.449997,135.580002,137.059998,130.359238,4606900
2022-06-16,135.300003,136.240005,134.389999,135.669998,129.037186,5386400
2022-06-17,135.990005,136.979996,132.850006,135.020004,128.418976,12968500
